26.7,68.7,1786709162.823095
26.7,68.7,1786709167.823089
26.7,68.7,1786709172.8229609
26.7,68.7,1786709177.822586
26.7,68.7,1786709182.822443
26.7,69.0,1786709187.8234818
28.8,63.0,1787139190.1324086
28.8,62.9,1787139195.1319063
28.8,63.0,1787139200.1317663
28.8,63.0,1787139205.1318629
28.8,63.0,1787139210.131695
28.8,63.0,1787139215.1317313
28.8,63.1,1787139220.1314206
29.1,70.0,1787139225.1315043
29.5,78.1,1787139230.1313524
29.8,83.7,1787139235.1311252
30.0,87.6,1787139240.1311169
30.3,90.3,1787139245.1310446
30.4,92.2,1787139250.131092
30.3,93.4,1787139255.1309767
30.3,94.2,1787139260.130775
30.4,94.7,1787139265.130972
30.4,95.0,1787139270.1304553
30.3,94.9,1787139275.1305132
30.3,94.3,1787139280.130291
30.2,92.9,1787139285.1301026
30.2,90.3,1787139290.1301782
30.2,86.3,1787139295.1299741
30.2,81.8,1787139300.1295738
30.2,77.6,1787139305.129506
30.1,73.8,1787139310.1293027
30.1,70.7,1787139315.1294074
30.1,68.4,1787139320.1293638
30.1,66.7,1787139325.129213
